AFG,Afghanistan,0.7303602358,91
DZA,Algeria,2.9203811354,64
AGO,Angola,3.0465846985,63
AUS,Australia,7.291413722,21
AUT,Austria,7.738563679,12
AZE,Azerbaijan,4.9789096057,38
BGD,Bangladesh,2.432969445,74
BLR,Belarus,6.1884796459,29
BEL,Belgium,7.5439721763,16
BEN,Benin,1.1050703898,89
BOL,Bolivia,2.7316833865,66
BRA,Brazil,4.7687056845,40
BGR,Bulgaria,6.642060901,25
BFA,Burkina Faso,0.55757183,92
KHM,Cambodia,1.7916464331,81
CAN,Canada,7.6198510824,13
CHL,Chile,5.5379817185,34
CHN,China,4.8774260767,39
COL,Colombia,4.0765858396,44
CZE,Czech Republic,7.489336351,18
DNK,Denmark,8.5244795174,2
DOM,Dominican Republic,3.1909904945,60
ECU,Ecuador,3.5168990438,54
EGY,Egypt,3.3198517405,57
SLV,El Salvador,3.2907875589,58
ETH,Ethiopia,1.3798317479,85
FIN,Finland,8.3063206349,5
FRA,France,7.4156012352,20
DEU,Germany,7.5936425802,14
GHA,Ghana,2.7919975441,65
GRC,Greece,5.8027388584,32
GTM,Guatemala,2.5644329629,68
HTI,Haiti,1.5774040531,84
HND,Honduras,2.5193818584,71
HKG,Hong Kong,8.4942658752,3
HUN,Hungary,6.7452779779,23
IND,India,2.5443773904,70
IDN,Indonesia,3.1551230025,61
IRN,Iran,4.0708436736,45
ISR,Israel,7.454585444,19
ITA,Italy,6.410588429,28
CIV,Ivory Coast,1.5957698812,83
JPN,Japan,8.4365533048,4
JOR,Jordan,4.4252047008,42
KEN,Kenya,2.5975283333,67
KGZ,Kyrgyzstan,3.3695189964,56
LAO,Laos,2.1359939913,79
MDG,Madagascar,2.2942746926,76
MYS,Malaysia,5.3375217735,36
MLI,Mali,1.0701424341,90
MEX,Mexico,4.6003563309,41
MAR,Morocco,3.2189860451,59
NPL,Nepal,2.4913974279,72
NLD,Netherlands,8.2878358641,6
NIC,Nicaragua,2.563375888,69
NGA,Nigeria,2.4743458666,73
PAK,Pakistan,2.1165535316,80
PRY,Paraguay,2.3125723621,75
PER,Peru,3.7265447825,49
PHL,Philippines,3.5577316968,51
POL,Poland,6.7214189912,24
PRT,Portugal,5.810546014,31
RUS,Russia,7.5624279815,15
SAU,Saudi Arabia,5.1094853354,37
SEN,Senegal,1.2375205325,87
SRB,Serbia,5.3446860946,35
SGP,Singapore,8.0595458769,10
SVK,Slovakia,7.0331138588,22
SVN,Slovenia,6.5126637222,27
ZAF,South Africa,4.3020084354,43
KOR,South Korea,9.0602784027,1
ESP,Spain,6.6406258656,26
LKA,Sri Lanka,3.751070445,48
SDN,Sudan,2.2625552772,77
SWE,Sweden,8.1642987838,9
CHE,Switzerland,8.1743783445,8
SYR,Syria,3.0477378913,62
TWN,Taiwan,7.5400599609,17
TJK,Tajikistan,3.3808442296,55
TZA,Tanzania,1.1064985439,88
THA,Thailand,3.5566551377,52
TUN,Tunisia,3.5403392461,53
UGA,Uganda,1.3569035917,86
UKR,Ukraine,5.6761401989,33
ARE,United Arab Emirates,5.8515344428,30
GBR,United Kingdom,8.1926120524,7
USA,United States,7.7776897102,11
UZB,Uzbekistan,3.848106886,47
VEN,Venezuela,3.9930250587,46
VNM,Vietnam,3.643053216,50
YEM,Yemen,1.7212157825,82
ZMB,Zambia,2.2511254315,78